bin	observed	predicted	residual	idx	good_residual	pvals	pvals_adj	chr	start	end
2_195	1.0840045989992	0.7824867963790894	0.30151780262011063	887	0.30151780262011063	0.024517702057610714	0.7599180894630571	chr2	194159081	195159900
2_156	0.593279868445372	0.3366493880748749	0.25663048037049707	850	0.25663048037049707	0.044798008651870974	0.7692964208777018	chr2	155127101	156127920
4_138	1.07587536672444	0.7589825987815857	0.31689276794285437	1248	0.31689276794285437	0.020066779144938922	0.7599180894630571	chr4	137110560	138111366
11_104	1.08094219170411	0.5268611907958984	0.5540810009082116	264	0.5540810009082116	0.0014973783811287715	0.3995742414523881	chr11	103004945	104004992
3_90	0.951727542701076	0.5586444735527039	0.3930830691483721	1207	0.3930830691483721	0.007874852534024047	0.6235898850380293	chr3	89010058	90010170
5_165	0.951066113593201	0.6120587587356567	0.3390073548575443	1413	0.3390073548575443	0.015141527433028644	0.7378582791402806	chr5	164833777	165838860
9_122	-0.61314479776689	-0.23217645287513733	-0.3809683448917527	1757	0.3809683448917527	0.009076944860762453	0.6491925597058437	chr9	121183074	122184586
17_67	-0.356382545893559	-0.1058269515633583	-0.2505555943302007	710	0.2505555943302007	0.04868251323955106	0.7692964208777018	chr17	66159061	67161470
4_29	-0.155060448913554	0.13083645701408386	-0.28589690592763783	1309	0.28589690592763783	0.030156760890485867	0.7599180894630571	chr4	28022597	29023403
15_49	0.228796169354307	-0.05654335394501686	0.2853395232993239	567	0.2853395232993239	0.030382166354110344	0.7599180894630571	chr15	48250033	49255241
3_104	1.27181522728903	0.8552187085151672	0.4165965187738627	1077	0.4165965187738627	0.006020620325017321	0.5483343647921157	chr3	103011640	104011752
1_82	-0.194703182874886	0.06698786467313766	-0.26169104754802364	140	0.26169104754802364	0.04180916321493685	0.7692964208777018	chr1	81081487	82082492
16_60	0.696989065336821	0.4118052124977112	0.28518385283910985	644	0.28518385283910985	0.03044544132881098	0.7599180894630571	chr16	59232520	60236460
14_42	0.779136273517683	0.43893498182296753	0.34020129169471547	494	0.34020129169471547	0.014916460556057824	0.7378582791402806	chr14	41133907	42137172
2_5	-0.332686754489964	0.013825059868395329	-0.3465118143583593	956	0.3465118143583593	0.013786774749215445	0.7378582791402806	chr2	4003281	5004100
8_84	1.07599386879081	0.7764689922332764	0.29952487655753357	1721	0.29952487655753357	0.025169137637058824	0.7599180894630571	chr8	83206920	84209412
3_22	0.694941519742612	0.3539603352546692	0.3409811844879428	1152	0.3409811844879428	0.014771444563378658	0.7378582791402806	chr3	21002374	22002486
4_184	-0.760685482548637	-0.4890560805797577	-0.2716294019688793	1296	0.2716294019688793	0.03653258229019427	0.7601783384892191	chr4	183147682	184148488
12_12	-0.544698483824574	-0.2941042184829712	-0.2505942653416028	387	0.2505942653416028	0.04865670931092576	0.7692964208777018	chr12	11070456	12076860
3_36	0.785545176564016	0.518737256526947	0.266807920037069	1163	0.266807920037069	0.03899888871491653	0.7601783384892191	chr3	35003956	36004068
8_40	-0.149727364332544	0.12149599939584732	-0.2712233637283913	1692	0.2712233637283913	0.03673378097463441	0.7601783384892191	chr8	39097228	40099720
2_23	-0.0788610861886367	0.23280222713947296	-0.31166331332810965	924	0.31166331332810965	0.021473122481292573	0.7599180894630571	chr2	22018041	23018860
