bin	observed	predicted	residual	idx	good_residual	pvals	chr	start	end
11_938	0.5038059422711	-0.11227597296237946	0.6160819152334794	4052	0.6160819152334794	0.04837557455612991	chr11	93703749	93803752
2_781	-0.125568671923323	0.9469923973083496	-1.0725610692316727	11898	1.0725610692316727	0.00781981132406186	chr2	78031201	78131240
11_987	-0.736233106432464	0.6163650155067444	-1.3525981219392085	4101	1.3525981219392085	0.0033865645186170273	chr11	98603945	98703948
11_1089	1.52049902474074	0.530360758304596	0.990138266436144	2985	0.990138266436144	0.01036373105603166	chr11	108804353	108904356
13_1063	1.55972038592058	0.5623918175697327	0.9973285683508473	5374	0.9973285683508473	0.010104770800507522	chr13	106263721	106363780
3_748	-0.712878088854249	0.2446325123310089	-0.9575106011852579	14438	0.9575106011852579	0.01164620072422214	chr3	74708218	74808228
18_393	-1.60020120650819	-0.3199331760406494	-1.2802680304675407	9103	1.2802680304675407	0.004137851956133523	chr18	39238809	39338907
14_367	2.14601717892541	0.8104627728462219	1.3355544060791882	6186	1.3355544060791882	0.003547134519162062	chr14	36616837	36716882
4_750	-1.62533756201884	-0.7795836329460144	-0.8457539290728255	16076	0.8457539290728255	0.017791966707783335	chr4	74920973	75021000
4_1308	2.13112046940659	1.295451283454895	0.8356691859516951	14930	0.8356691859516951	0.018521312020643874	chr4	130736597	130836624
2_418	2.20079553969804	1.3274149894714355	0.8733805502266043	11508	0.8733805502266043	0.015964580467223165	chr2	41716681	41816720
6_1284	1.0756439522905	0.39197859168052673	0.6836653606099732	17915	0.6836653606099732	0.03537256823413884	chr6	128310265	128410272
18_689	-0.190834232988332	0.4633243680000305	-0.6541586009883625	9410	0.6541586009883625	0.04047660531137703	chr18	68868113	68968211
18_371	-0.305835287359777	0.4309982657432556	-0.7368335531030326	9080	0.7368335531030326	0.027955906512416025	chr18	37036631	37136729
11_565	2.69291967806616	1.7389963865280151	0.9539232915381448	3669	0.9539232915381448	0.01179875991226989	chr11	56402257	56502260
5_853	-0.185063620522856	0.8988121747970581	-1.083875795319914	17478	1.083875795319914	0.007533713938272183	chr5	85206817	85306824
4_667	2.6194120933942	1.8779444694519043	0.7414676239422957	15989	0.7414676239422957	0.027401067680620783	chr4	66618649	66718676
2_599	-0.628418770994343	0.0521230511367321	-0.6805418221310751	11702	0.6805418221310751	0.03587583537959196	chr2	59823921	59923960
18_50	2.20529104240093	1.440550446510315	0.7647405958906153	9212	0.7647405958906153	0.02480443387144367	chr18	4904852	5004950
10_845	1.6150216628152	0.8776026368141174	0.7374190260010827	2737	0.7374190260010827	0.027885078311052913	chr10	84421101	84521125
10_684	-0.0742548975984152	0.7542069554328918	-0.828461853031307	2578	0.828461853031307	0.019064691707672773	chr10	68317076	68417100
5_632	2.59933846823281	1.5221302509307861	1.0772082173020237	17264	1.0772082173020237	0.007700711993272969	chr5	63105049	63205056
2_837	2.18482525327488	1.4962751865386963	0.6885500667361839	11960	0.6885500667361839	0.03460198440200777	chr2	83633441	83733480
8_435	2.19460446919022	1.405377984046936	0.789226485143284	20732	0.789226485143284	0.0223823424721015	chr8	43418663	43518705
4_662	3.45143686996968	2.292970657348633	1.1584662126210472	15984	1.1584662126210472	0.0059390068975173635	chr4	66118509	66218536
6_708	3.14917814591482	2.2427642345428467	0.9064139113719731	18555	0.9064139113719731	0.014068784568092052	chr6	70705657	70805664
18_379	2.45345393614033	0.9999033212661743	1.4535506148741555	9088	1.4535506148741555	0.0026010699633722857	chr18	37837423	37937521
3_943	-0.37953273329735	0.6104499101638794	-0.9899826434612293	14554	0.9899826434612293	0.010369425221795875	chr3	94210363	94310373
18_267	-0.0918286373023129	0.6831315159797668	-0.7749601532820798	8982	0.7749601532820798	0.02375730842700947	chr18	26626335	26726433
